"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 1 (100_100)"
"10/28/2022 10:10:11:917 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"5","100","100","8","3","0","0","1000","0","39","100","1000"
"3","100","100","8","3","0","0","1000","0","31","100","1000"
"1","100","100","8","3","0","0","1000","0","52","100","1000"
"6","100","100","8","3","0","0","1000","0","27","100","1000"
"10","100","100","8","3","0","0","1000","0","46","100","1000"
"7","100","100","8","3","0","0","1000","0","47","100","1000"
"4","100","100","8","3","0","0","1000","0","32","99","1000"
"2","100","100","8","3","0","0","1000","0","34","100","1000"
"8","100","100","8","3","0","0","1000","0","24","100","1000"
"9","100","100","8","3","0","0","1000","0","40","100","1000"
