"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 1 (100_75)"
"10/28/2022 10:10:07:137 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"1","100","75","8","3","0","0","1000","0","42","75","1000"
"7","100","75","8","3","0","0","1000","0","44","75","1000"
"2","100","75","8","3","0","0","1000","0","56","75","1000"
"8","100","75","8","3","0","0","1000","0","53","75","1000"
"10","100","75","8","3","0","0","1000","0","37","75","1000"
"5","100","75","8","3","0","0","1000","0","64","75","1000"
"4","100","75","8","3","0","0","1000","0","49","75","1000"
"6","100","75","8","3","0","0","1000","0","43","74","1000"
"3","100","75","8","3","0","0","1000","0","52","75","1000"
"9","100","75","8","3","0","0","1000","0","46","73","1000"
