"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 1 (100_25)"
"10/28/2022 10:09:57:482 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"1","100","25","8","3","0","0","1000","0","113","25","1000"
"8","100","25","8","3","0","0","1000","0","138","25","1000"
"2","100","25","8","3","0","0","1000","0","179","25","1000"
"7","100","25","8","3","0","0","1000","0","94","25","1000"
"10","100","25","8","3","0","0","1000","0","154","25","1000"
"3","100","25","8","3","0","0","1000","0","171","25","1000"
"4","100","25","8","3","0","0","1000","0","125","25","1000"
"9","100","25","8","3","0","0","1000","0","173","25","1000"
"5","100","25","8","3","0","0","1000","0","145","25","1000"
"6","100","25","8","3","0","0","1000","0","97","25","1000"
