"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloMelhorado.nlogo"
"Tabela 10 (1)"
"10/29/2022 10:53:01:459 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"2","25","25","8","3","0","1","1000","3","0","8","1000"
"5","25","25","8","3","0","1","1000","5","0","7","1000"
"10","25","25","8","3","0","1","1000","2","0","7","1000"
"6","25","25","8","3","0","1","1000","3","0","11","1000"
"9","25","25","8","3","0","1","1000","2","0","10","1000"
"7","25","25","8","3","0","1","1000","2","0","10","1000"
"4","25","25","8","3","0","1","1000","3","0","11","1000"
"8","25","25","8","3","0","1","1000","3","0","7","1000"
"3","25","25","8","3","0","1","1000","4","0","9","1000"
"1","25","25","8","3","0","1","1000","2","0","10","1000"
