"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloMelhorado.nlogo"
"Tabela 10 (2)"
"10/29/2022 10:53:07:195 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"2","25","25","8","3","0","2","709","0","545","0","710"
"1","25","25","8","3","0","2","1000","0","485","2","1000"
"10","25","25","8","3","0","2","458","0","459","0","287"
"8","25","25","8","3","0","2","604","0","480","0","605"
"3","25","25","8","3","0","2","884","0","445","0","885"
"4","25","25","8","3","0","2","1000","0","500","1","1000"
"5","25","25","8","3","0","2","882","0","834","0","883"
"9","25","25","8","3","0","2","1000","0","701","1","1000"
"6","25","25","8","3","0","2","674","0","615","0","675"
"7","25","25","8","3","0","2","1000","0","545","3","1000"
