"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloMelhorado.nlogo"
"Tabela 9 (0)"
"10/29/2022 10:51:56:388 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"7","25","25","8","3","0","0","1000","23","0","20","1000"
"5","25","25","8","3","0","0","1000","20","0","21","1000"
"9","25","25","8","3","0","0","1000","20","0","20","1000"
"1","25","25","8","3","0","0","1000","20","0","19","1000"
"10","25","25","8","3","0","0","1000","21","0","20","1000"
"2","25","25","8","3","0","0","1000","19","0","19","1000"
"6","25","25","8","3","0","0","1000","20","0","20","1000"
"8","25","25","8","3","0","0","1000","18","0","22","1000"
"3","25","25","8","3","0","0","1000","23","0","20","1000"
"4","25","25","8","3","0","0","1000","23","0","20","1000"
