"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloMelhorado.nlogo"
"Tabela 7 (0)"
"10/29/2022 10:49:12:528 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"7","25","25","0","3","0","0","1000","1","0","0","145"
"4","25","25","0","3","0","0","1000","2","0","0","129"
"9","25","25","0","3","0","0","1000","2","0","0","125"
"2","25","25","0","3","0","0","1000","3","0","0","125"
"5","25","25","0","3","0","0","1000","4","0","0","125"
"3","25","25","0","3","0","0","1000","3","0","0","126"
"6","25","25","0","3","0","0","1000","3","0","0","164"
"10","25","25","0","3","0","0","1000","3","0","0","125"
"8","25","25","0","3","0","0","1000","1","0","0","135"
"1","25","25","0","3","0","0","1000","2","0","0","165"
