"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloMelhorado.nlogo"
"Tabela 7 (10)"
"10/29/2022 10:49:23:274 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"2","25","25","10","3","0","0","1000","16","0","20","1000"
"1","25","25","10","3","0","0","1000","23","0","24","1000"
"6","25","25","10","3","0","0","1000","22","0","25","1000"
"4","25","25","10","3","0","0","1000","18","0","22","1000"
"5","25","25","10","3","0","0","1000","23","0","22","1000"
"3","25","25","10","3","0","0","1000","21","0","24","1000"
"9","25","25","10","3","0","0","1000","17","0","25","1000"
"8","25","25","10","3","0","0","1000","20","0","25","1000"
"7","25","25","10","3","0","0","1000","20","0","25","1000"
"10","25","25","10","3","0","0","1000","21","0","21","1000"
