"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloMelhorado.nlogo"
"Tabela 7 (5)"
"10/29/2022 10:49:17:592 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"2","25","25","5","3","0","0","1000","15","0","6","1000"
"5","25","25","5","3","0","0","1000","15","0","4","1000"
"9","25","25","5","3","0","0","1000","12","0","7","1000"
"10","25","25","5","3","0","0","1000","15","0","5","1000"
"7","25","25","5","3","0","0","1000","13","0","4","1000"
"8","25","25","5","3","0","0","1000","14","0","3","1000"
"4","25","25","5","3","0","0","1000","10","0","4","1000"
"1","25","25","5","3","0","0","1000","14","0","7","1000"
"3","25","25","5","3","0","0","1000","19","0","4","1000"
"6","25","25","5","3","0","0","1000","14","0","4","1000"
