"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 4 (0)"
"10/28/2022 14:21:14:522 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"3","25","25","8","3","0","0","1000","0","107","25","1000"
"1","25","25","8","3","0","0","1000","0","79","25","1000"
"5","25","25","8","3","0","0","1000","0","99","25","1000"
"6","25","25","8","3","0","0","1000","0","131","25","1000"
"9","25","25","8","3","0","0","1000","0","121","25","1000"
"7","25","25","8","3","0","0","1000","0","102","25","1000"
"4","25","25","8","3","0","0","1000","0","59","25","1000"
"2","25","25","8","3","0","0","1000","0","92","25","1000"
"8","25","25","8","3","0","0","1000","0","52","24","1000"
"10","25","25","8","3","0","0","1000","0","113","25","1000"
