"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 4 (10)"
"10/28/2022 14:21:24:432 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"2","25","25","8","3","10","0","1000","0","97","25","1000"
"3","25","25","8","3","10","0","1000","0","117","25","1000"
"10","25","25","8","3","10","0","1000","0","143","25","1000"
"6","25","25","8","3","10","0","1000","0","125","25","1000"
"9","25","25","8","3","10","0","1000","0","113","25","1000"
"5","25","25","8","3","10","0","1000","0","229","25","1000"
"7","25","25","8","3","10","0","1000","0","94","25","1000"
"4","25","25","8","3","10","0","1000","0","204","25","1000"
"8","25","25","8","3","10","0","1000","0","111","25","1000"
"1","25","25","8","3","10","0","1000","0","103","25","1000"
