"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 4 (5)"
"10/28/2022 14:21:19:531 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"3","25","25","8","3","5","0","1000","0","97","25","1000"
"2","25","25","8","3","5","0","1000","0","101","25","1000"
"6","25","25","8","3","5","0","1000","0","150","25","1000"
"9","25","25","8","3","5","0","1000","0","101","25","1000"
"10","25","25","8","3","5","0","1000","0","152","25","1000"
"1","25","25","8","3","5","0","1000","0","111","25","1000"
"7","25","25","8","3","5","0","1000","0","158","25","1000"
"4","25","25","8","3","5","0","1000","0","89","25","1000"
"5","25","25","8","3","5","0","1000","0","117","25","1000"
"8","25","25","8","3","5","0","1000","0","125","25","1000"
