"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 2 (10)"
"10/28/2022 12:35:50:522 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"6","25","25","10","3","0","0","1000","0","140","25","1000"
"5","25","25","10","3","0","0","1000","0","86","25","1000"
"7","25","25","10","3","0","0","1000","0","87","25","1000"
"8","25","25","10","3","0","0","1000","0","81","25","1000"
"2","25","25","10","3","0","0","1000","0","141","25","1000"
"3","25","25","10","3","0","0","1000","0","109","25","1000"
"9","25","25","10","3","0","0","1000","0","104","25","1000"
"1","25","25","10","3","0","0","1000","0","112","25","1000"
"4","25","25","10","3","0","0","1000","0","114","25","1000"
"10","25","25","10","3","0","0","1000","0","111","25","1000"
