"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 2 (5)"
"10/28/2022 12:35:46:734 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"3","25","25","5","3","0","0","1000","0","57","25","1000"
"4","25","25","5","3","0","0","1000","0","134","25","1000"
"7","25","25","5","3","0","0","1000","0","96","25","1000"
"10","25","25","5","3","0","0","1000","0","91","25","1000"
"8","25","25","5","3","0","0","1000","0","56","25","1000"
"1","25","25","5","3","0","0","1000","0","108","25","1000"
"5","25","25","5","3","0","0","1000","0","60","25","1000"
"6","25","25","5","3","0","0","1000","0","120","25","1000"
"2","25","25","5","3","0","0","1000","0","127","25","1000"
"9","25","25","5","3","0","0","1000","0","74","25","1000"
