"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 2 (0)"
"10/28/2022 12:35:42:651 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"7","25","25","0","3","0","0","681","0","66","0","682"
"3","25","25","0","3","0","0","647","0","85","0","648"
"10","25","25","0","3","0","0","683","0","115","0","684"
"2","25","25","0","3","0","0","953","0","62","0","954"
"8","25","25","0","3","0","0","659","0","81","0","660"
"6","25","25","0","3","0","0","622","0","51","0","623"
"4","25","25","0","3","0","0","874","0","49","0","875"
"1","25","25","0","3","0","0","1000","0","110","1","1000"
"9","25","25","0","3","0","0","720","0","69","0","721"
"5","25","25","0","3","0","0","755","0","107","0","756"
