"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 5 (1)"
"10/28/2022 14:22:56:539 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"5","25","25","8","3","0","1","1000","0","112","10","1000"
"3","25","25","8","3","0","1","1000","0","151","12","1000"
"6","25","25","8","3","0","1","1000","0","61","13","1000"
"10","25","25","8","3","0","1","1000","0","165","8","1000"
"9","25","25","8","3","0","1","1000","0","162","6","1000"
"8","25","25","8","3","0","1","1000","0","152","5","1000"
"7","25","25","8","3","0","1","1000","0","231","9","1000"
"1","25","25","8","3","0","1","1000","0","142","8","1000"
"4","25","25","8","3","0","1","1000","0","65","12","1000"
"2","25","25","8","3","0","1","1000","0","200","9","1000"
