"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 5 (2)"
"10/28/2022 14:23:00:709 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"8","25","25","8","3","0","2","878","0","257","0","879"
"2","25","25","8","3","0","2","799","0","37","0","800"
"7","25","25","8","3","0","2","662","0","180","0","663"
"5","25","25","8","3","0","2","510","0","159","0","511"
"9","25","25","8","3","0","2","594","0","64","0","595"
"3","25","25","8","3","0","2","678","0","117","0","679"
"1","25","25","8","3","0","2","1000","0","108","1","1000"
"4","25","25","8","3","0","2","783","0","50","0","784"
"6","25","25","8","3","0","2","943","0","97","0","944"
"10","25","25","8","3","0","2","1000","0","85","1","1000"
