"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloMelhorado.nlogo"
"Tabela 8 (0)"
"10/29/2022 10:50:47:276 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"7","25","25","8","0","0","0","1000","0","550","22","1000"
"6","25","25","8","0","0","0","1000","0","375","24","1000"
"2","25","25","8","0","0","0","1000","0","525","23","1000"
"9","25","25","8","0","0","0","1000","0","475","22","1000"
"10","25","25","8","0","0","0","1000","0","725","21","1000"
"8","25","25","8","0","0","0","1000","0","550","24","1000"
"3","25","25","8","0","0","0","1000","0","600","23","1000"
"4","25","25","8","0","0","0","1000","0","500","22","1000"
"5","25","25","8","0","0","0","1000","0","500","19","1000"
"1","25","25","8","0","0","0","1000","0","475","21","1000"
