"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloMelhorado.nlogo"
"Tabela 6 (100_0)"
"10/29/2022 10:47:05:163 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick"
"4","100","0","8","3","0","0","1000","1","0"
"5","100","0","8","3","0","0","1000","1","0"
"6","100","0","8","3","0","0","1000","2","0"
"7","100","0","8","3","0","0","669","0","670"
"3","100","0","8","3","0","0","769","0","770"
"9","100","0","8","3","0","0","1000","1","0"
"8","100","0","8","3","0","0","819","0","820"
"1","100","0","8","3","0","0","939","0","940"
"10","100","0","8","3","0","0","1000","1","0"
"2","100","0","8","3","0","0","899","0","900"
