"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloMelhorado.nlogo"
"Tabela 6 (100_75)"
"10/29/2022 10:47:21:685 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick"
"8","100","75","8","3","0","0","1000","6","0"
"4","100","75","8","3","0","0","1000","12","0"
"5","100","75","8","3","0","0","1000","16","0"
"1","100","75","8","3","0","0","1000","8","0"
"2","100","75","8","3","0","0","1000","10","0"
"6","100","75","8","3","0","0","1000","12","0"
"9","100","75","8","3","0","0","1000","10","0"
"7","100","75","8","3","0","0","1000","11","0"
"3","100","75","8","3","0","0","1000","9","0"
"10","100","75","8","3","0","0","1000","11","0"
