"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloMelhorado.nlogo"
"Tabela 6 (100_100)"
"10/29/2022 10:47:27:247 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick"
"5","100","100","8","3","0","0","1000","15","0"
"8","100","100","8","3","0","0","1000","12","0"
"2","100","100","8","3","0","0","1000","20","0"
"10","100","100","8","3","0","0","1000","14","0"
"9","100","100","8","3","0","0","1000","17","0"
"1","100","100","8","3","0","0","1000","20","0"
"3","100","100","8","3","0","0","1000","19","0"
"4","100","100","8","3","0","0","1000","15","0"
"6","100","100","8","3","0","0","1000","12","0"
"7","100","100","8","3","0","0","1000","23","0"
