"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 3 (0)"
"10/28/2022 14:04:34:567 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"6","25","25","8","0","0","0","1000","0","89","25","1000"
"8","25","25","8","0","0","0","1000","0","80","25","1000"
"1","25","25","8","0","0","0","1000","0","154","25","1000"
"9","25","25","8","0","0","0","1000","0","86","25","1000"
"4","25","25","8","0","0","0","1000","0","100","25","1000"
"2","25","25","8","0","0","0","1000","0","72","24","1000"
"5","25","25","8","0","0","0","1000","0","57","25","1000"
"3","25","25","8","0","0","0","1000","0","138","25","1000"
"7","25","25","8","0","0","0","1000","0","100","25","1000"
"10","25","25","8","0","0","0","1000","0","68","25","1000"
