"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 3 (3)"
"10/28/2022 14:04:44:005 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"7","25","25","8","3","0","0","1000","0","122","25","1000"
"3","25","25","8","3","0","0","1000","0","172","25","1000"
"2","25","25","8","3","0","0","1000","0","61","25","1000"
"9","25","25","8","3","0","0","1000","0","74","25","1000"
"10","25","25","8","3","0","0","1000","0","57","25","1000"
"6","25","25","8","3","0","0","1000","0","83","25","1000"
"8","25","25","8","3","0","0","1000","0","177","25","1000"
"5","25","25","8","3","0","0","1000","0","77","25","1000"
"1","25","25","8","3","0","0","1000","0","66","25","1000"
"4","25","25","8","3","0","0","1000","0","95","25","1000"
