"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 3 (2)"
"10/28/2022 14:04:39:233 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"4","25","25","8","2","0","0","1000","0","123","25","1000"
"2","25","25","8","2","0","0","1000","0","86","25","1000"
"6","25","25","8","2","0","0","1000","0","139","25","1000"
"9","25","25","8","2","0","0","1000","0","87","25","1000"
"5","25","25","8","2","0","0","1000","0","79","25","1000"
"1","25","25","8","2","0","0","1000","0","75","25","1000"
"10","25","25","8","2","0","0","1000","0","85","25","1000"
"3","25","25","8","2","0","0","1000","0","79","25","1000"
"8","25","25","8","2","0","0","1000","0","80","25","1000"
"7","25","25","8","2","0","0","1000","0","134","25","1000"
