"BehaviorSpace results (NetLogo 6.3.0)"
"ModeloBase.nlogo"
"Tabela 3 (5)"
"10/28/2022 14:04:48:977 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","N_BasicAgent","N_ExpertAgent","AlimentoVerde","AlimentoAmarelo","Abrigo","Armadilha","[step]","count BasicAgents","btick","count ExpertAgents","etick"
"8","25","25","8","5","0","0","1000","0","121","25","1000"
"1","25","25","8","5","0","0","1000","0","162","25","1000"
"3","25","25","8","5","0","0","1000","0","82","25","1000"
"5","25","25","8","5","0","0","1000","0","145","25","1000"
"4","25","25","8","5","0","0","1000","0","111","25","1000"
"2","25","25","8","5","0","0","1000","0","105","25","1000"
"7","25","25","8","5","0","0","1000","0","54","25","1000"
"6","25","25","8","5","0","0","1000","0","130","25","1000"
"9","25","25","8","5","0","0","1000","0","151","25","1000"
"10","25","25","8","5","0","0","1000","0","182","25","1000"
